TRANSACTION_ID,NATURE,PERC_OWNER,C4R#,
"80159","","",""
"80240","","",""
"80454","","",""
"80455","","",""
"80530","","",""
"80539","","",""
"68309","","",""
"72206","","",""
"163422","Campaign T-shirts","",""
"164198","Payment of campaign coordination fees","",""
"164199","Payment of circulation fees","",""
"164200","Payment of campaign coordination fees","",""
"164201","Payment of accounting fees","",""
"164269","Filing Fees","",""
"169680","Access to voter data base","",""
"169692","Web site domain","",""
"167627","Logo for vehicle","",""
"167855","HAYES SKY SIGNS-ADVERTISING","",""
"168003","Letters sent for fundraising","",""
"167997","T-shirts for candidate committee","",""
"172686","Postage","",""
"168010","Paint and supplies for signs","",""
"168091","Food and Beverages","",""
"168092","Office Space","",""
"168093","Hall Rental and Refreshments","",""
"168094","Food","",""
"168095","Food & Beverages","",""
"168311","Printing","100",""
"168553","Graphic Art Materials","",""
"168561","Fund Raising Party","",""
"169654","Filing fee","",""
"170224","Postage/Secy Services","",""
"170227","Printing Services","",""
"170230","Printing Services","",""
"170232","Catering","",""
"170256","Signs","0",""
"170258","T-shirts","",""
"171702","Electronic voting records","",""
"171713","Photos for campaign","",""
"170573","Office space","",""
"170715","Payment of printing","0",""
"170734","Airplane Trip","",""
"170813","Pre-pay two vendors","0",""
"171330","Printing","",""
"171391","Campaign","",""
"171550","Campaign Photography","",""
"171718","Copies of handbill","",""
"171722","Emery boards","",""
"171724","Bulk Mail Permit","",""
"171727","Campaign shirt","",""
"171733","Donation of lease space","",""
"171734","PHOTOGRAPHS","",""
"171738","District Maps","",""
"172373","Food","",""
"172372","Postage","",""
"172376","Office Supplies","",""
"172379","Food/Office Supplies","",""
"172678","Postage","",""
"172457","Letters for fundraising","",""
"172459","Posts for signs","",""
"172461","Plywood Signs","",""
"172464","Plywood Signs","",""
"172627","Photography for Ads","",""
"172693","Postage","",""
"172700","Postage","",""
"172868","Accounting","",""
"172871","Accounting","",""
"172876","Accounting","",""
"182631","BUMPER STICKERS","0",""
"173232","Accounting","",""
"173233","Accounting","",""
"173234","Accounting","",""
"173624","Phonebank","",""
"173635","Postage","",""
"173804","Supplies","",""
"173844","Signs","",""
"173845","Sign and location","",""
"173846","Sign Frames","",""
"178198","NONE GIVEN","",""
"178354","NEWSPAPER RELEASE ANNOUNCING CANDIADACY","0",""
"174614","ACCOUNTING SERVICES","",""
"174712","Web design","100",""
"174996","Campaign Hats","",""
"175173","Business Card Blanks","",""
"175180","Business Card Blanks","",""
"175181","Business Card Blanks","",""
"175184","Business Card Blanks","",""
"175189","Business Card Blanks","",""
"175191","Business Card Blanks","",""
"175196","Business Card Blanks","",""
"175303","Meal for Fundraiser","",""
"175315","Food for Fundraiser","",""
"175322","Fundraiser invitation","",""
"175328","Meal for fundraiser","",""
"175334","Meal for Fundraiser","",""
"175337","Entertainment for Fundraiser","",""
"175341","Entertainment for Fundraiser","",""
"175348","Meal for Fundraiser","",""
"175358","Meal for Fundraiser","",""
"177238","Expenses Incurred","",""
"177242","Expenses Incurred","",""
"177245","Expenses Incurred","",""
"177250","Website software & book","",""
"177373","Meal for Fundraiser","",""
"177429","Meal for Fundraiser","",""
"177541","PAINTED SIGNS","",""
"178359","INVITATIONS & ENVELOPES FOR FUNDRAISER","0",""
"178364","BAKED CAKES FOR FUNDRAISER","0",""
"178380","Catering Meetingo","0",""
"178461","Newspaper Ad","",""
"178852","Postage, flyers, decorations, printing","",""
"178887","GRAPHIC DESIGN","",""
"178931","Lumber for Signs","",""
"178935","Tools for Signs","",""
"178959","Campaign fundraiser - supplies etc","",""
"178979","Filing Fee - Judicial Office","",""
"178984","100 $0.39 US Postage Stamps","",""
"178998","FedEx Kinko's for Banner printing","",""
