TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
"225204","Other","CELL PHONE REIMBURSEMENT"
"225206","Other","CELL PHONE REIMBURSEMENT"
"225208","Other","CELL PHONE REIMBURSEMENT"
"225257","Interest","Acct 1754661"
"226354","Interest","N/A"
"226355","Interest",""
"226356","Interest",""
"226492","Other","Not given"
"226930","Refunds","Copier Rental"
"228514","Refunds","Refund of Filing Fee"
"228588","Interest",""
"228589","Interest",""
"228590","Interest",""
"228669","Other","Voided Check for Advertising"
"228670","Refunds","Reimburse Expense-Defective Equipment"
"228724","Interest","Interest on Checking Account"
"229871","Refunds","Filing Fee"
"229662","Refunds",""
"229933","Refunds","Filing Fee"
"229938","Interest","Interest Income"
"230602","Refunds","Refund of Filing Fee"
"230416","Interest","Interest on ONB Bank Account"
"231047","Interest",""
"231277","Other","Returned check/couldn't get signs to us in time"
"231296","Refunds","Returned unused coca cola from announcement party"
"231508","Refunds","Refund of Filing Fee"
"231509","Interest","Interest payment"
"231897","Interest","Bank Account Interest"
"232105","Refunds","Refund - non-contested filing fee"
"232450","Interest","Interest earned"
"232497","Interest","Interest Credited  to Accounts"
"232462","Refunds","Room Deposit"
"232540","Refunds","Refund of Filing Fee"
"232550","Refunds","Space rental fee refund"
"232551","Refunds","Space rental fee refund"
"232632","Interest",""
"232823","Refunds","Refund Filing Fee 15% Rule"
"233020","Refunds","Candidate filing fee refund per 15% rule"
"234122","Refunds","Filing Fee Refund"
"234259","Refunds","Filing Fee"
"235038","Refunds","REFUND FOR FILING FOR OFFICE"
"235196","Interest","Interest Income"
"235477","Interest","Interest on Campaign Checking Account"
"235637","Rebates","POLITICAL FUND"
"235710","Refunds","Filing fee refund"
